gpu,NVIDIA RTX PRO 6000 Blackwell Server Edition
sms,188
blocks,384
threads,1024
active_experts,384
n32,64
N,2048
h_v4,8192
h_panels,32
token_panel_bytes,4096
live_per_n32,24
mask_mode,2
x_bytes,268435456
mode_table,0=live no prefetch,1=live pf128 piped wait only live token threads,2=live pf256 piped wait only live token threads,3=live pf128 piped no wait,4=live pf256 piped no wait,5=all-token pf128 piped wait all token threads,6=all-token no prefetch
kind,mode,mode_name,blocks,active_experts,iters,n32,h_v4,h_panels,live_per_n32_counted,mask_mode,ms,GBps,median_cyc,cyc_per_n32,cyc_per_live_token,sink
throughput,0,live_no_pf,384,384,64,64,8192,32,24,2,120.74771,1280.511,122454907,29896.218,1245.676,0x00000000
throughput,1,live_pf128_pipe_wait_live,384,384,64,64,8192,32,24,2,63.50637,2434.698,63583636,15523.349,646.806,0x00000000
throughput,2,live_pf256_pipe_wait_live,384,384,64,64,8192,32,24,2,77.07245,2006.149,76222956,18609.120,775.380,0x00000000
throughput,3,live_pf128_pipe_no_wait,384,384,64,64,8192,32,24,2,59.47219,2599.851,57429101,14020.777,584.199,0x00000000
throughput,4,live_pf256_pipe_no_wait,384,384,64,64,8192,32,24,2,71.18829,2171.970,69472432,16961.043,706.710,0x00000000
throughput,5,all_tokens_pf128_pipe_wait_all,384,384,64,64,8192,32,32,2,100.70615,2047.129,99699395,24340.673,760.646,0x00000000
throughput,6,all_tokens_no_pf,384,384,64,64,8192,32,32,2,91.08128,2263.455,86739012,21176.517,661.766,0x00000000
