model,gpu,sms,mode,routing,seed,iters,E,N,NP,I,H,TOPK,live_experts,assignments,active_n8,active_n16,paired_n16,max_tokens_per_expert,max_active_n8_per_expert,max_active_n16_per_expert,max_paired_n16_per_expert,end_to_end_ms,useful_tflops,route_errors,scale_errors,nonfinite,padded_nonzero,useful_nonzero,f1_blocks_per_sm,f2_blocks_per_sm,checksum,validation_scope,status
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x75ef6965,20,128,8,32,1536,4096,8,51,64,51,51,51,2,1,1,1,0.477088,5.063886,0,0,0,0,32768,1,1,0xf28d37796ab87173,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xd417eedc,20,128,8,32,1536,4096,8,38,64,38,38,38,8,1,1,1,0.430688,5.609441,0,0,0,0,32768,1,1,0x07d0980435d515b3,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x365c6413,20,128,8,32,1536,4096,8,33,64,33,33,33,5,1,1,1,0.415648,5.812416,0,0,0,0,32768,1,1,0x7db7a6c61124ef73,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x90851a4a,20,128,256,256,1536,4096,8,128,2048,310,182,128,28,4,2,1,0.941408,82.121050,0,0,0,0,1048576,1,1,0x7c9edd8dcf0641c3,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xf2cd9381,20,128,256,256,1536,4096,8,128,2048,319,204,158,228,29,15,8,3.522528,21.947139,0,0,0,0,1048576,1,1,0x94734f4bc09eb5b3,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x5cf209f8,20,128,256,256,1536,4096,8,127,2048,317,186,142,114,15,8,4,2.136928,36.177826,0,0,0,0,1048576,1,1,0xc3398bfde44450f3,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0xbf3a8f3f,20,128,512,512,1536,4096,8,128,4096,571,312,184,48,6,3,2,1.423136,108.646555,0,0,0,0,2097152,1,1,0x50a7c69c72b42f83,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x19630576,20,128,512,512,1536,4096,8,128,4096,568,319,205,466,59,30,15,6.729088,22.977679,0,0,0,0,2097152,1,1,0x57729ec0951ffbd3,route_scale_finite,PASS
qwen3_235b_a22b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x7babbaad,20,128,512,512,1536,4096,8,128,4096,565,317,189,232,29,15,8,3.654208,42.312541,0,0,0,0,2097152,1,1,0x05ea522e03d35443,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0xc5d030e4,20,256,8,32,1536,3072,8,60,64,60,60,60,2,1,1,1,0.391680,4.626071,0,0,0,0,24576,1,1,0x026a18381f7a9943,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x2418b65b,20,256,8,32,1536,3072,8,40,64,40,40,40,7,1,1,1,0.334368,5.418998,0,0,0,0,24576,1,1,0xbc535fb2047b6d63,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x86412f92,20,256,8,32,1536,3072,8,35,64,35,35,35,6,1,1,1,0.319328,5.674226,0,0,0,0,24576,1,1,0x8b57e8397f7b3053,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0xe089a5c9,20,256,256,256,1536,3072,8,256,2048,351,257,256,17,3,2,1,1.408928,41.153314,0,0,0,0,786432,1,1,0xf6255020b6512da3,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x42be5b00,20,256,256,256,1536,3072,8,232,2048,395,297,257,223,28,14,7,2.967072,19.541844,0,0,0,0,786432,1,1,0x6758ebbe382771e3,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0xace6d147,20,256,256,256,1536,3072,8,200,2048,364,261,224,130,17,9,5,2.182016,26.572702,0,0,0,0,786432,1,1,0x6f9ed0ccd9984583,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x0f2f56be,20,256,512,512,1536,3072,8,256,4096,628,367,256,26,4,2,1,1.447616,80.106961,0,0,0,0,1572864,1,1,0x9c8474b0f5440633,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x6957ccf5,20,256,512,512,1536,3072,8,247,4096,639,418,313,433,55,28,14,5.366240,21.609939,0,0,0,0,1572864,1,1,0x7fafba2ce7b80343,route_scale_finite,PASS
minimax_m2,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0xcb9c422c,20,256,512,512,1536,3072,8,252,4096,620,386,282,206,26,13,7,2.911296,39.832474,0,0,0,0,1569792,1,1,0x94b2c5b4de379cc3,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x55c4f863,20,128,8,32,2880,2880,4,28,32,28,28,28,2,1,1,1,0.567200,2.807695,0,0,0,0,23040,1,1,0x6abf0faf0ad16393,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xb40d71da,20,128,8,32,2880,2880,4,19,32,19,19,19,6,1,1,1,0.556928,2.859481,0,0,0,0,23040,1,1,0x9d54de5a6e6346f3,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x1635f711,20,128,8,32,2880,2880,4,16,32,16,16,16,5,1,1,1,0.550784,2.891378,0,0,0,0,23040,1,1,0x4910eafd75b910f3,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x707a6d48,20,128,256,256,2880,2880,4,128,1024,182,128,128,15,2,1,1,1.261056,40.411208,0,0,0,0,737280,1,1,0x92e9f2fd3ec060d3,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xd2a2e28f,20,128,256,256,2880,2880,4,112,1024,193,144,124,157,20,10,5,3.404704,14.967760,0,0,0,0,737280,1,1,0xbb0f72e2c96268a3,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x3ceb98c6,20,128,256,256,2880,2880,4,115,1024,188,134,117,66,9,5,3,2.163616,23.553530,0,0,0,0,737280,1,1,0xe5502bb029ba3cb3,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x9f101e3d,20,128,512,512,2880,2880,4,128,2048,312,185,128,28,4,2,1,1.282240,79.487135,0,0,0,0,1474560,1,1,0xf5ee36d6570a2d13,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xf9589474,20,128,512,512,2880,2880,4,126,2048,322,210,159,336,42,21,11,6.941536,14.682858,0,0,0,0,1474560,1,1,0x19f9536fc9137253,route_scale_finite,PASS
gpt_oss_120b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x5b810dab,20,128,512,512,2880,2880,4,122,2048,309,188,136,125,16,8,4,2.960864,34.422920,0,0,0,0,1474560,1,1,0x753fe5e62eb59f33,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0xa5c983e2,20,32,8,32,2880,2880,4,19,32,19,19,19,3,1,1,1,0.552896,2.880333,0,0,0,0,23040,1,1,0x0e25982a4cad8ee3,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x07fe3959,20,32,8,32,2880,2880,4,16,32,16,16,16,6,1,1,1,0.548512,2.903355,0,0,0,0,23040,1,1,0xc121524f0007a393,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x6626be90,20,32,8,32,2880,2880,4,14,32,14,14,14,5,1,1,1,0.548704,2.902338,0,0,0,0,23040,1,1,0x48cd2b06e5985a03,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0xc06f34d7,20,32,256,256,2880,2880,4,32,1024,143,78,46,45,6,3,2,1.218912,41.808427,0,0,0,0,737280,1,1,0x1a73af5e1086c363,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x2297aa0e,20,32,256,256,2880,2880,4,32,1024,142,76,51,202,26,13,7,3.967296,12.845221,0,0,0,0,737280,1,1,0x82ca106444fa8f13,route_scale_finite,PASS
