gpu,sms,path,method,destination,pf_shape,routing,route_seed,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.727872,8849441,10452205568,1306525696,58720256,1879048192,1879048192,0,7.598503,243.152089,243.152089,0.000000,1529.198682,1764.752268,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.778112,8900551,10452205568,1306525696,58720256,1879048192,1879048192,58720256,7.549422,241.581517,241.581517,7.549422,1519.321256,1753.353350,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.770672,8841370,10452205568,1306525696,58720256,1879048192,1879048192,58720256,7.556651,241.812835,241.812835,7.556651,1520.776035,1755.032220,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.773632,8862114,10452205568,1306525696,58720256,1879048192,1879048192,116916224,7.553774,241.720753,241.720753,15.040103,1520.196923,1754.363902,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.778032,8877008,10452205568,1306525696,58720256,1879048192,1879048192,116916224,7.549500,241.584005,241.584005,15.031594,1519.336904,1753.371409,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.768736,8876469,10452205568,1306525696,58720256,1879048192,1879048192,116916224,7.558534,241.873095,241.873095,15.049582,1521.155011,1755.469571,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.745056,9015981,10452205568,1306525696,58720256,1879048192,58720256,0,7.581644,242.612598,7.581644,0.000000,1525.805790,1760.836744,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.767312,8993143,10452205568,1306525696,58720256,1879048192,58720256,58720256,7.559920,241.917433,7.559920,7.559920,1521.433856,1755.791369,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.768512,8943300,10452205568,1306525696,58720256,1879048192,58720256,58720256,7.558752,241.880073,7.558752,7.558752,1521.198895,1755.520215,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.775936,8982259,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.551535,241.649129,7.551535,15.035646,1519.746475,1753.844069,0x7a89601c5b1649f1
