N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,128,512,pure,warp_consumer,tma,pf32x4_current_tma_smem,3,128,128,6,27,5.241344,5.050832,5.256528,no_pf_tma_smem,5.181408,0.989143,-1.0977,no_pf_tma_smem,0.989143,-1.0977
256,128,512,pure,warp_consumer,tma,pf32x4_current_wait0_tma_smem,3,128,128,6,27,5.247392,5.060208,5.262096,no_pf_tma_smem,5.181408,0.987425,-1.2735,no_pf_tma_smem,0.987425,-1.2735
256,128,512,pure,warp_consumer,tma,pf64x2_current_tma_smem,3,128,128,6,27,5.220864,5.042496,5.232400,no_pf_tma_smem,5.181408,0.992443,-0.7615,no_pf_tma_smem,0.992443,-0.7615
256,128,512,pure,warp_consumer,tma,pf64x4_current_lead1_tma_smem,3,128,128,6,27,5.280272,5.095616,5.292176,no_pf_tma_smem,5.181408,0.981277,-1.9081,no_pf_tma_smem,0.981277,-1.9081
256,128,512,pure,warp_consumer,tma,pf64x4_current_wait0_lead1_async_tma_smem,3,128,128,6,27,5.278320,5.082736,5.280672,no_pf_tma_smem,5.181408,0.982998,-1.7296,no_pf_tma_smem,0.982998,-1.7296
256,128,512,pure,warp_consumer,warp_direct,no_pf_direct,3,128,128,6,27,7.327296,7.105664,7.450592,no_pf_tma_smem,5.181408,0.703146,-42.2180,no_pf_direct,1.000000,0.0000
256,128,512,pure,warp_consumer,warp_direct,pf128_current_direct,3,128,128,6,27,6.201152,5.999904,6.237680,no_pf_tma_smem,5.181408,0.833556,-19.9679,no_pf_direct,1.184296,15.5617
256,128,512,pure,warp_consumer,warp_direct,pf128x2_current_lead1_direct,3,128,128,6,27,6.203344,6.056896,6.250096,no_pf_tma_smem,5.181408,0.831900,-20.2067,no_pf_direct,1.181185,15.3392
256,128,512,pure,warp_consumer,warp_direct,pf32x4_current_direct,3,128,128,6,27,6.226320,6.055536,6.244448,no_pf_tma_smem,5.181408,0.832178,-20.1666,no_pf_direct,1.176826,15.0257
256,128,512,pure,warp_consumer,warp_direct,pf32x4_current_wait0_direct,3,128,128,6,27,6.339312,6.155024,6.346384,no_pf_tma_smem,5.181408,0.817345,-22.3473,no_pf_direct,1.155850,13.4836
256,128,512,pure,warp_consumer,warp_direct,pf64x2_current_direct,3,128,128,6,27,6.203376,6.022224,6.236720,no_pf_tma_smem,5.181408,0.833684,-19.9495,no_pf_direct,1.181179,15.3388
256,128,512,pure,warp_consumer,warp_direct,pf64x4_current_lead1_direct,3,128,128,6,27,6.258432,6.074320,6.286304,no_pf_tma_smem,5.181408,0.827109,-20.9031,no_pf_direct,1.170788,14.5874
256,128,512,pure,warp_consumer,warp_direct,pf64x4_current_wait0_lead1_async_direct,3,128,128,6,27,6.387296,6.152704,6.389904,no_pf_tma_smem,5.181408,0.812053,-23.1447,no_pf_direct,1.154885,13.4113
256,128,512,wdequant,warp_consumer,tma,no_pf_tma_smem,3,128,128,6,27,32.660271,31.143583,32.660591,no_pf_tma_smem,32.660271,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,128,512,wdequant,warp_consumer,tma,pf128_current_tma_smem,3,128,128,6,27,32.807217,31.310257,32.825294,no_pf_tma_smem,32.660271,0.994973,-0.5053,no_pf_tma_smem,0.994973,-0.5053
256,128,512,wdequant,warp_consumer,tma,pf128x2_current_lead1_tma_smem,3,128,128,6,27,33.097263,31.577696,33.106735,no_pf_tma_smem,32.660271,0.986514,-1.3670,no_pf_tma_smem,0.986514,-1.3670
256,128,512,wdequant,warp_consumer,tma,pf32x4_current_tma_smem,3,128,128,6,27,33.011330,31.481184,33.012894,no_pf_tma_smem,32.660271,0.989328,-1.0787,no_pf_tma_smem,0.989328,-1.0787
256,128,512,wdequant,warp_consumer,tma,pf32x4_current_wait0_tma_smem,3,128,128,6,27,33.053055,31.528625,33.060478,no_pf_tma_smem,32.660271,0.987895,-1.2254,no_pf_tma_smem,0.987895,-1.2254
256,128,512,wdequant,warp_consumer,tma,pf64x2_current_tma_smem,3,128,128,6,27,32.899727,31.381409,32.908913,no_pf_tma_smem,32.660271,0.992445,-0.7613,no_pf_tma_smem,0.992445,-0.7613
256,128,512,wdequant,warp_consumer,tma,pf64x4_current_lead1_tma_smem,3,128,128,6,27,33.202976,31.676033,33.218254,no_pf_tma_smem,32.660271,0.983203,-1.7084,no_pf_tma_smem,0.983203,-1.7084
256,128,512,wdequant,warp_consumer,tma,pf64x4_current_wait0_lead1_async_tma_smem,3,128,128,6,27,33.249489,31.729759,33.262207,no_pf_tma_smem,32.660271,0.981903,-1.8430,no_pf_tma_smem,0.981903,-1.8430
256,128,512,wdequant,warp_consumer,warp_direct,no_pf_direct,3,128,128,6,27,33.494675,32.050301,33.569344,no_pf_tma_smem,32.660271,0.972929,-2.7824,no_pf_direct,1.000000,0.0000
256,128,512,wdequant,warp_consumer,warp_direct,pf128_current_direct,3,128,128,6,27,33.316303,31.806160,33.335587,no_pf_tma_smem,32.660271,0.979742,-2.0677,no_pf_direct,1.007595,0.7538
256,128,512,wdequant,warp_consumer,warp_direct,pf128x2_current_lead1_direct,3,128,128,6,27,32.984993,31.493679,33.000381,no_pf_tma_smem,32.660271,0.989694,-1.0414,no_pf_direct,1.017674,1.7367
256,128,512,wdequant,warp_consumer,warp_direct,pf32x4_current_direct,3,128,128,6,27,33.193810,31.697617,33.214046,no_pf_tma_smem,32.660271,0.983327,-1.6956,no_pf_direct,1.011127,1.1004
256,128,512,wdequant,warp_consumer,warp_direct,pf32x4_current_wait0_direct,3,128,128,6,27,33.220592,31.734304,33.236687,no_pf_tma_smem,32.660271,0.982657,-1.7649,no_pf_direct,1.009958,0.9859
256,128,512,wdequant,warp_consumer,warp_direct,pf64x2_current_direct,3,128,128,6,27,33.334579,31.825089,33.353859,no_pf_tma_smem,32.660271,0.979205,-2.1236,no_pf_direct,1.007043,0.6993
256,128,512,wdequant,warp_consumer,warp_direct,pf64x4_current_lead1_direct,3,128,128,6,27,33.285858,31.779280,33.306000,no_pf_tma_smem,32.660271,0.980612,-1.9771,no_pf_direct,1.008517,0.8445
256,128,512,wdequant,warp_consumer,warp_direct,pf64x4_current_wait0_lead1_async_direct,3,128,128,6,27,33.279327,31.767185,33.302658,no_pf_tma_smem,32.660271,0.980711,-1.9669,no_pf_direct,1.008715,0.8639
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,382,383,1,14,10.313328,10.286736,10.325904,no_pf_tma_smem,10.432096,1.010284,1.0179,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,382,383,1,14,10.157440,10.146080,10.176176,no_pf_tma_smem,10.432096,1.025149,2.4532,no_pf_cta_nc_actcomp_smem,1.014714,1.4500
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,382,383,1,14,9.774688,9.714272,10.011296,no_pf_tma_smem,10.432096,1.063567,5.9767,no_pf_cta_nc_actcomp_smem,1.055106,5.2228
256,384,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,382,383,1,14,10.163824,10.144736,10.177824,no_pf_tma_smem,10.432096,1.026395,2.5716,no_pf_cta_nc_actcomp_smem,1.013997,1.3804
256,384,512,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,382,383,1,14,10.432096,10.396032,10.464672,no_pf_tma_smem,10.432096,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
