gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.688160,3883072,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,7307264,1882685440,2.173974,69.567171,2.173974,0.000000,69.567171,2.173974,4.328538,1115.229305,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.716144,3985711,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,7307264,1882685440,2.138524,68.432781,2.138524,0.000000,68.432781,2.138524,4.257955,1097.043923,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf32x4_current_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.582736,3660633,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,2.318780,74.200948,74.200948,0.000000,0.000000,0.000000,2.318780,1182.577601,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf32x4_current_wait0_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.596048,3694971,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,2.299440,73.582068,73.582068,0.000000,0.000000,0.000000,2.299440,1172.714206,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf32x4_current_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.670592,3834302,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,2.196836,70.298737,2.196836,0.000000,70.298737,2.196836,2.196836,1124.779787,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.708640,3967056,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,2.147916,68.733323,2.147916,0.000000,68.733323,2.147916,2.147916,1099.733170,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.872976,6555993,1556086784,194510848,3670016,117440512,117440512,0,0,0,0,1868038144,1.277427,40.877651,40.877651,0.000000,0.000000,0.000000,0.000000,650.210131,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.830000,6527099,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.296825,41.498415,41.498415,0.000000,0.000000,0.000000,1.296825,661.380993,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.842208,6544624,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.291255,41.320169,41.320169,0.000000,0.000000,0.000000,1.291255,658.540198,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.839136,6518871,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,1.292652,41.364875,41.364875,0.000000,0.000000,0.000000,2.573763,660.533813,0x3ae9471344d8ca50
