gpu,sms,path,method,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.849408,7891159,3758096384,469762048,58720256,1879048192,1879048192,58720256,12.108747,387.479901,387.479901,12.108747,883.938525,1259.309680,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.638032,7259613,3758096384,469762048,58720256,1879048192,1879048192,58720256,12.660598,405.139121,405.139121,12.660598,924.223620,1316.702144,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.680448,7428907,3758096384,469762048,58720256,1879048192,1879048192,116916224,12.545863,401.467629,401.467629,24.979710,915.848029,1304.769794,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.623888,6967686,3758096384,469762048,58720256,1879048192,1879048192,116916224,12.699325,406.378395,406.378395,25.285263,927.050714,1320.729785,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.689568,7121427,3758096384,469762048,58720256,1879048192,1879048192,116916224,12.521465,400.686879,400.686879,24.931131,914.066943,1302.232357,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,5.244672,8503122,3758096384,469762048,58720256,1879048192,58720256,0,11.196174,358.277554,11.196174,0.000000,817.320670,1164.402051,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.782768,7249199,3758096384,469762048,58720256,1879048192,58720256,58720256,12.277462,392.878788,12.277462,12.277462,896.254735,1276.856060,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.777776,7199177,3758096384,469762048,58720256,1879048192,58720256,58720256,12.290291,393.289322,12.290291,12.290291,897.191266,1278.190297,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.797168,7209207,3758096384,469762048,58720256,1879048192,58720256,116916224,12.240609,391.699494,12.240609,24.371927,893.564471,1273.023356,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.842080,7268315,3758096384,469762048,58720256,1879048192,58720256,116916224,12.127072,388.066316,12.127072,24.145867,885.276283,1261.215527,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.866656,7317484,3758096384,469762048,58720256,1879048192,58720256,116916224,12.065832,386.106615,12.065832,24.023933,880.805716,1254.846499,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.980624,7017797,3758096384,469762048,58720256,1879048192,1879048192,0,14.751521,472.048656,472.048656,0.000000,1076.860997,1534.158133,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.963504,7179397,3758096384,469762048,58720256,1879048192,1879048192,58720256,14.815238,474.087614,474.087614,14.815238,1081.512370,1540.784747,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.973904,7122002,3758096384,469762048,58720256,1879048192,1879048192,58720256,14.776465,472.846885,472.846885,14.776465,1078.681957,1536.752377,0x3109a210d8c7dbdf
