gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,2.110320,4863733,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.739080,1.739080,1.739080,0.489116,2.228197,2.228197,1.739080,837.475835,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,2.101776,4819161,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.746150,1.746150,1.746150,0.491105,2.237254,2.237254,1.746150,840.880273,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,2.089696,4792670,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.756244,1.756244,1.756244,0.493944,2.250188,2.250188,1.756244,845.741265,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,2.135424,4963191,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.718636,1.718636,1.718636,0.483366,2.202002,2.202002,1.718636,827.630469,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,1.932944,4453724,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,0,1756332032,1.898666,1.898666,1.898666,0.534000,0.534000,0.534000,0.000000,908.630554,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,1.953168,4500222,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.879007,1.879007,1.879007,0.528471,0.528471,0.528471,1.879007,901.101249,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,1.950384,4484480,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.881689,1.881689,1.881689,0.529225,0.529225,0.529225,1.881689,902.387442,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,2.054272,4753487,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.786529,1.786529,1.786529,0.502461,0.502461,0.502461,1.786529,856.752223,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.081504,4790918,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,0,1763672064,1.763156,1.763156,1.763156,0.495888,2.259043,2.259043,0.000000,847.306550,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.107600,4841999,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.741325,1.741325,1.741325,0.489748,2.231072,2.231072,1.741325,838.556701,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.092704,4816956,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.753720,1.753720,1.753720,0.493234,2.246953,2.246953,1.753720,844.525567,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.074080,4784063,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.769467,1.769467,1.769467,0.497663,2.267130,2.267130,1.769467,852.108929,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.135552,4963270,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.718533,1.718533,1.718533,0.483337,2.201870,2.201870,1.718533,827.580943,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.927808,4432915,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,0,1756332032,1.903725,1.903725,1.903725,0.535423,0.535423,0.535423,0.000000,911.051303,0x6de879f08627afd3
