gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,0,15032385536,1879048192,67108864,117440512,11.182208,10.754502,172.072040,10.502444,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,7340032,15032385536,1879048192,67108864,117440512,11.175936,10.760538,172.168612,10.508338,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,0,15032385536,1879048192,67108864,117440512,11.210720,10.727151,171.634412,10.475733,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,7340032,15032385536,1879048192,67108864,117440512,11.234336,10.704601,171.273617,10.453712,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,0,16911433728,2113929216,67108864,117440512,13.958912,8.615219,137.843505,8.413300,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,7340032,16911433728,2113929216,67108864,117440512,13.944800,8.623937,137.982997,8.421814,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,0,16911433728,2113929216,67108864,117440512,13.919200,8.639799,138.236778,8.437303,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,7340032,16911433728,2113929216,67108864,117440512,13.907936,8.646796,138.348734,8.444137,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,0,16911433728,2113929216,67108864,117440512,13.964256,8.611922,137.790750,8.410080,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,7340032,16911433728,2113929216,67108864,117440512,13.950944,8.620140,137.922234,8.418105,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
