gpu,sms,path,method,destination,pf_shape,routing,route_seed,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.856224,7885765,3758096384,469762048,58720256,1879048192,1879048192,58720256,12.091752,386.936057,386.936057,12.091752,882.697881,1257.542187,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.609776,7214542,3758096384,469762048,58720256,1879048192,1879048192,58720256,12.738202,407.622449,407.622449,12.738202,929.888712,1324.772960,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.714160,7500347,3758096384,469762048,58720256,1879048192,1879048192,116916224,12.456144,398.596612,398.596612,24.801073,909.298522,1295.438990,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.623808,6951036,3758096384,469762048,58720256,1879048192,1879048192,116916224,12.699545,406.385436,406.385436,25.285701,927.066776,1320.752667,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.682896,7149471,3758096384,469762048,58720256,1879048192,1879048192,116916224,12.539304,401.257713,401.257713,24.966649,915.369157,1304.087566,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,5.246512,8500330,3758096384,469762048,58720256,1879048192,58720256,0,11.192247,358.151895,11.192247,0.000000,817.034010,1163.993659,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.790864,7243425,3758096384,469762048,58720256,1879048192,58720256,58720256,12.256715,392.214890,12.256715,12.256715,894.740217,1274.698392,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.777744,7198820,3758096384,469762048,58720256,1879048192,58720256,58720256,12.290372,393.291913,12.290372,12.290372,897.197176,1278.198717,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.796160,7203131,3758096384,469762048,58720256,1879048192,58720256,116916224,12.243182,391.781820,12.243182,24.377050,893.752276,1273.290914,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.840320,7271543,3758096384,469762048,58720256,1879048192,58720256,116916224,12.131482,388.207422,12.131482,24.154647,885.598182,1261.674122,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.859536,7330902,3758096384,469762048,58720256,1879048192,58720256,116916224,12.083510,386.672334,12.083510,24.059132,882.096261,1256.685085,0x809d226190dcb7d3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.973504,7009947,3758096384,469762048,58720256,1879048192,1879048192,0,14.777953,472.894493,472.894493,0.000000,1078.790563,1536.907103,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.963984,7172278,3758096384,469762048,58720256,1879048192,1879048192,58720256,14.813444,474.030215,474.030215,14.813444,1081.381427,1540.598197,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.974704,7101509,3758096384,469762048,58720256,1879048192,1879048192,58720256,14.773492,472.751755,472.751755,14.773492,1078.464941,1536.443204,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.950320,6889581,3758096384,469762048,58720256,1879048192,1879048192,116916224,14.864683,475.669867,475.669867,29.596646,1085.121884,1545.927068,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.962720,6856385,3758096384,469762048,58720256,1879048192,1879048192,116916224,14.818170,474.181429,474.181429,29.504034,1081.726384,1541.089643,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.973664,6908673,3758096384,469762048,58720256,1879048192,1879048192,116916224,14.777358,472.875455,472.875455,29.422775,1078.747131,1536.845228,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.039184,6946809,3758096384,469762048,58720256,1879048192,58720256,0,14.537653,465.204890,14.537653,0.000000,1061.248655,1511.915893,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.042240,6911323,3758096384,469762048,58720256,1879048192,58720256,58720256,14.526662,464.853182,14.526662,14.526662,1060.446321,1510.772841,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.051824,6907855,3758096384,469762048,58720256,1879048192,58720256,58720256,14.492301,463.753645,14.492301,14.492301,1057.938003,1507.199346,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.009200,6844049,3758096384,469762048,58720256,1879048192,58720256,116916224,14.646377,468.684063,14.646377,29.161983,1069.185520,1523.223206,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.035248,6854446,3758096384,469762048,58720256,1879048192,58720256,116916224,14.551834,465.658687,14.551834,28.973741,1062.283879,1513.390732,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,4.045568,6908488,3758096384,469762048,58720256,1879048192,58720256,116916224,14.514712,464.470798,14.514712,28.899829,1059.574008,1509.530093,0x3109a210d8c7dbdf
