gpu,NVIDIA RTX PRO 6000 Blackwell Server Edition
sms,188
blocks,384
threads,1024
dynamic_smem_bytes,65536
data_mb,512
mode_table,0=mixed even ca.nc odd cs,1=ca.nc both parity paths,2=ca both parity paths,3=cg both parity paths,4=mixed even ca.nc odd ca,5=mixed even ca.nc odd cg,6=ca.nc all lanes uniform,7=mixed even cs.nc odd cs,8=cs.nc both parity paths,9=mixed even cs.nc odd ca,10=mixed even cs.nc odd cg,11=cs.nc all lanes uniform,12-23=same modes with first load ld.global.nc.L1::evict_first.L2::64B and second adjacent load plain,24=TMA bulk 16KB to SMEM then ld.shared,25=TMA bulk 32KB to SMEM then 2x ld.shared,26=warp-stagger 2 lanes at a time all cs.nc,27=stagger only p64 prefetch load then all-lane cs.nc consume,TMA modes also emit tma_dep dependent-source row
kind,mode,mode_name,blocks,threads,iters,data_mb,ms,GBps,median_cyc,cyc_per_thread_load,sink
throughput,23,p64_2x_cs_nc_all_lanes_uniform,384,1024,2048,512,13.69686,1881.438,13285561,3243.545,0x00000000
latency,23,p64_2x_cs_nc_all_lanes_uniform,384,1024,512,512,15.92710,404.496,15854628,15483.035,0xe7198800
throughput,24,tma_bulk_16KB_smem_ld_shared,384,1024,2048,512,9.31754,1382.866,9562090,4668.989,0x00000000
copy_wait,24,tma_bulk_16KB_smem_ld_shared,384,1024,512,512,2.32474,1385.631,2369772,4628.461,0x00000000
tma_dep,24,tma_bulk_16KB_smem_ld_shared,384,1024,512,512,1.94592,1655.374,1853546,3620.207,0x4ff00000
throughput,25,tma_bulk_32KB_smem_2x_ld_shared,384,1024,2048,512,14.99440,1718.629,14003720,3418.877,0x00000000
copy_wait,25,tma_bulk_32KB_smem_2x_ld_shared,384,1024,512,512,4.47866,1438.479,4729507,4618.659,0x00000000
tma_dep,25,tma_bulk_32KB_smem_2x_ld_shared,384,1024,512,512,3.63389,1772.881,3649126,3563.600,0x58e00000
throughput,26,stag2_warp_pair_cs_nc_all_lanes,384,1024,2048,512,9.98986,1289.799,9462237,4620.233,0x00000000
latency,26,stag2_warp_pair_cs_nc_all_lanes,384,1024,512,512,14.14003,227.809,13110190,25605.840,0x4d140800
throughput,27,p64_stag2_prefetch_then_all_cs_nc,384,1024,2048,512,15.72493,1638.787,15427188,3766.403,0x00000000
latency,27,p64_stag2_prefetch_then_all_cs_nc,384,1024,512,512,18.80221,342.643,18791852,18351.418,0x52ee3800
