N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,6,27,3.315248,3.307984,3.333616,no_pf_tma_smem,3.456976,1.042750,4.0998,no_pf_cta_nc_actcomp_smem,0.995989,-0.4027
256,128,512,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,6,27,3.456976,3.449840,3.464528,no_pf_tma_smem,3.456976,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,6,27,3.476448,3.462048,3.481168,no_pf_tma_smem,3.456976,0.996474,-0.3539,no_pf_tma_smem,0.996474,-0.3539
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,6,27,3.456560,3.436160,3.461456,no_pf_tma_smem,3.456976,1.000887,0.0887,no_pf_tma_smem,1.000887,0.0887
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,6,27,3.471168,3.467888,3.473856,no_pf_tma_smem,3.456976,0.995141,-0.4883,no_pf_tma_smem,0.995141,-0.4883
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,6,27,3.455680,3.430496,3.466240,no_pf_tma_smem,3.456976,1.000375,0.0375,no_pf_tma_smem,1.000375,0.0375
256,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,382,383,1,14,10.281616,10.280624,10.291920,no_pf_tma_smem,10.380272,1.009041,0.8960,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,382,383,1,14,10.129072,10.120768,10.133520,no_pf_tma_smem,10.380272,1.025641,2.5000,no_pf_cta_nc_actcomp_smem,1.014962,1.4742
256,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,382,383,1,14,10.017120,10.009953,10.018832,no_pf_tma_smem,10.380272,1.036253,3.4985,no_pf_cta_nc_actcomp_smem,1.027139,2.6422
256,384,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,382,383,1,14,10.133008,10.117056,10.135360,no_pf_tma_smem,10.380272,1.026017,2.5357,no_pf_cta_nc_actcomp_smem,1.014568,1.4359
